HISTORY_RCRD_ID,LAYER_RCRD_ID,HISTORY_ID,SILV_BASE_CD,START_YEAR,END_YEAR,LAYER_PCT 
206801,1258,1,,,,
206810,1259,1,,,,
206818,1260,1,,,,
206822,1261,1,,,,
206824,1262,1,,,,
206826,1263,1,,,,
206832,1264,1,,,,
206833,1265,1,,,,
206847,1266,1,,,,
206848,1267,1,,,,
206851,1268,1,,,,
206863,1269,1,,,,
206866,1270,1,,,,
206871,1271,1,,,,
206872,1272,1,,,,
206876,1273,1,,,,
206879,1274,1,,,,
206882,1275,1,,,,
206884,1276,1,,,,
206888,1277,1,,,,
206889,1278,1,"DI",,,
206891,1279,1,,,,
206898,1280,1,,,,
206901,1281,1,,,,
206906,1282,1,,,,
206917,1283,1,,,,
206918,1284,1,,,,
206919,1285,1,,,,
206925,1286,1,,,,
206937,1287,1,,,,
206941,1288,1,,,,
206947,1289,1,,,,
206951,1290,1,,,,
206952,1291,1,,,,
206955,1293,1,,,,
206968,1294,1,"DI",,,
206971,1296,1,,,,
206972,1297,1,"DI",,,
206975,1298,1,,,,
206979,1299,1,,,,
206982,1300,1,,,,
207001,1301,1,"DI",,,
207002,1303,1,,,,
207022,1304,1,,,,
207041,1305,1,"DI",,,
207043,1306,1,"DI",,,
207047,1307,1,,,,
207050,1308,1,,,,
